participant,speed,node,Fx1,Fy1,Fx2,Fy2,speed1,speed2,duration
P1,1.0,0,6.778199419688382,10.83634549163584,81.39018525370952,684.7001939554718,0.9995954141255964,1.0021238855081533,1.226
P1,1.0,1,10.082935273147065,40.76516319192856,90.39715900107706,675.4041131458827,0.9996467198442763,1.0027474799621328,1.226
P1,1.0,2,9.359902565433178,88.88100859776351,99.5320258590533,658.9787364898502,0.9996953057684641,1.0031195117513392,1.226
P1,1.0,3,-0.34344061685345906,151.67729173535173,107.78798559599134,633.4330051487508,0.9991824147211102,1.0037959761505504,1.226
P1,1.0,4,-19.018210711910328,223.82933798337083,114.33576575625632,596.942466450229,0.9993115308080555,1.0051029283502242,1.226
P1,1.0,5,-41.53855122662718,300.30980784259253,118.38665685388499,548.7139666397395,0.9993269056579033,1.006173387321178,1.226
P1,1.0,6,-63.23953901414136,376.05658977062006,118.47068208536571,489.0379106318042,0.9952897935215902,1.0063698335773952,1.226
P1,1.0,7,-81.38900528215699,445.40085822269225,113.42708033767438,419.5082086782061,0.9852377051305775,1.0063390162199506,1.226
P1,1.0,8,-94.57779023782852,503.66001371689094,103.23852586764349,343.0918411345711,0.9752852705647475,1.0068192252439034,1.226
P1,1.0,9,-102.3591507663167,548.470329844065,88.17294807596373,264.0888707034664,0.9727685850235971,1.0071053879515375,1.226
P1,1.0,10,-105.4179534929168,580.4924999136553,69.13368008273235,187.9941842210863,0.977738984183546,1.0061200723314627,1.226
P1,1.0,11,-104.87309952617879,603.0476707831571,48.17109953845006,120.7019702081632,0.9847367072321429,1.0037778564072066,1.226
P1,1.0,12,-101.62689063000549,619.6436817019191,28.64863977942814,67.13659611246743,0.9907574372460708,1.0011038590055312,1.226
P1,1.0,13,-96.53875427326415,632.3510896739415,13.437174296287438,29.634330554793337,0.9953880619799761,0.9986455254600406,1.226
P1,1.0,14,-90.36280840197735,642.2150399708764,3.8515546962275566,7.582912736869378,0.9980930179391119,0.9962572400901458,1.226
P1,1.0,15,-83.64519980579806,649.4926754799233,0.0,0.0,0.9993844774316649,0.9941585060451641,1.226
P1,1.0,16,-76.58727486168914,653.5157726938392,0.0,0.0,0.9999505408293077,0.9941074575856865,1.226
P1,1.0,17,-69.31923039821783,653.5302581034008,0.0,0.0,1.0003557918011323,0.9958435328701793,1.226
P1,1.0,18,-61.89146239191996,649.7739660614213,0.0,0.0,1.0009471920463022,0.9984390287578949,1.226
P1,1.0,19,-54.644586142228405,643.0629062624454,0.0,0.0,1.001407578831677,1.0002116510714576,1.226
P1,1.0,20,-47.84978463592095,634.1165982279009,0.0,0.0,1.0022547880123711,1.0008490644293195,1.226
P1,1.0,21,-41.81074413481265,623.7116929378801,0.014874461297150806,0.15765281791658728,1.0031592731409007,1.0007897331804858,1.226
P1,1.0,22,-36.693370351369964,612.8414297599772,0.052833485986525826,0.2159915068232096,1.0040217021051518,0.9999106269318033,1.226
P1,1.0,23,-32.41805621012931,602.5495408097842,0.040909682563659525,0.16221618155118717,1.0042833119819967,0.9994982208216455,1.226
P1,1.0,24,-28.773538025703825,593.6125008307538,0.02127786135021607,0.08776989666347884,1.0039568274868,0.9990394532525124,1.226
P1,1.0,25,-25.38309711005699,586.5210892968046,0.0074175677860524765,0.032318917529159,1.003574374516486,0.99913690938233,1.226
P1,1.0,26,-21.99738912046166,581.7855066071534,-0.000735518106701908,0.0025127476658547026,1.0030040465919283,0.9996743789444811,1.226
P1,1.0,27,-18.545460707347246,579.710615242077,0.0,0.0,1.002483252037471,0.9997242966924532,1.226
P1,1.0,28,-15.005471689778567,579.950979450725,0.0,0.0,1.0020315241347075,0.9999169431544402,1.226
P1,1.0,29,-11.476090967219982,582.0304687378193,0.0,0.0,1.0014808181459058,1.0001241736545472,1.226
P1,1.0,30,-8.094390400412427,585.766103330707,-0.023356645000731608,0.0021329019739363122,1.0011612505101175,0.9994950273886402,1.226
P1,1.0,31,-4.908487330783879,590.8381702105002,-0.01851613630428986,0.0038279356848618246,1.001396205615281,0.9989516488300265,1.226
P1,1.0,32,-1.8716554407371389,596.83286369702,-0.011392551119060948,0.0024687578702761188,1.0012023470640616,0.9991892661529703,1.226
P1,1.0,33,1.1406506364288658,603.3874095863536,0.0,0.0,1.000960127680355,0.9995219299444066,1.226
P1,1.0,34,4.310697163372772,610.1930777554829,0.0,0.0,1.0009429442679467,0.9998984118450458,1.226
P1,1.0,35,7.84651056866652,616.9715896272079,0.0,0.0,1.0007771340221268,0.9997274485278819,1.226
P1,1.0,36,11.920012471627153,623.3079110745683,0.0,0.0,1.000472456755537,0.9993657886008555,1.226
P1,1.0,37,16.556092338639004,628.970030074289,0.0034776611755262424,0.009469245223648576,1.000341724846372,0.9995088509310849,1.226
P1,1.0,38,21.600831665629677,634.1363231523763,0.007751327034633528,0.03591040107420895,1.00034566536926,0.9994388097118084,1.226
P1,1.0,39,26.840581860944038,639.1760340204523,0.011817782640892694,0.08318040025980979,1.000946997605223,0.9993285664478634,1.226
P1,1.0,40,32.07159387421086,644.3513835631426,0.01117400170744347,0.14458794221706844,1.0015428541626745,0.9994052783513432,1.226
P1,1.0,41,37.17087943958422,649.8196060037184,-0.0027653643177966316,0.18232129724212826,1.0017877984293906,0.9996641130816453,1.226
P1,1.0,42,42.12784061145807,655.812635504999,-0.04187352575238473,0.1073666637424374,1.0017878852643718,0.9998484146135566,1.226
P1,1.0,43,47.05960746985383,662.2700105804369,0.0,0.0,1.00159618134457,0.9995988425872381,1.226
P1,1.0,44,52.15203482619127,668.8393921832362,0.0,0.0,1.0016066460080664,0.9991535340943836,1.226
P1,1.0,45,57.60841998094425,675.1610694318246,0.0,0.0,1.0017220760709074,0.9994375123479254,1.226
P1,1.0,46,63.579735368541726,680.6799712545758,0.0,0.0,1.0018823842973998,0.9997857130335979,1.226
P1,1.0,47,70.1514253732849,684.677038579219,0.0,0.0,1.0019089707541395,0.9996809620703898,1.226
P1,1.0,48,77.3098404810105,686.2756997536802,0.0,0.0,1.0017679811647222,0.999785390045922,1.226
P1,1.0,49,84.91742856944413,684.5611689827239,3.3237380440065776,9.256221188876648,1.0020335065634312,0.9995636741608135,1.226
P1,1.0,50,92.71772523305796,678.7640396083762,5.47329962047013,30.557701346304167,1.0029654028475377,0.99910819636815,1.226
P1,1.0,51,100.3565839501139,667.8969215167527,5.9883902497484645,64.66350061373593,1.0034166151586783,0.9987609374890332,1.226
P1,1.0,52,107.37435192329468,650.6945274485954,2.0731967953956865,109.77164339223863,1.0037941455464774,0.9987226577181322,1.226
P1,1.0,53,113.32846087039314,625.74627050228,-7.815250438758616,162.1950723255897,1.0043474765727618,0.9991879604931406,1.226
P1,1.0,54,117.88494492887301,591.726803229732,-22.496979550079274,219.00994413803227,1.0047063569505885,0.9991562675272307,1.226
P1,1.0,55,120.49444575790024,547.8298037512748,-39.254982157723916,278.31874844330525,1.0048828452118783,0.9968492799915075,1.226
P1,1.0,56,120.40958487183792,494.0218306913361,-55.696588332285,337.96996291552534,1.004866520628844,0.9916977661784766,1.226
P1,1.0,57,116.67533469954357,431.5404113318008,-70.13483808423427,394.80972934419276,1.0050901267140655,0.986085550669898,1.226
P1,1.0,58,108.35557099178438,362.97342535973394,-81.67987805890677,445.781415887885,1.0057790586638808,0.9822854701075197,1.226
P1,1.0,59,95.37115907438832,291.75621351759713,-90.01379122385967,489.239123886515,1.0061603500174898,0.9822590052279793,1.226
P1,1.0,60,78.70487892462704,221.98906559555755,-95.1617057443257,525.1531889466112,1.005963466931163,0.9849347257026778,1.226
P1,1.0,61,60.13596025756602,157.8021791718934,-97.41320145760584,554.8925423737576,1.0048610504595987,0.9879724841519244,1.226
P1,1.0,62,41.89077457649296,102.78289440161892,-96.96291859632679,580.161723775131,1.0029666305920675,0.9906906371026183,1.226
P1,1.0,63,25.976641868459616,59.46354991141301,-94.11258923601436,601.9411090752436,1.0004675487771257,0.9931405239895996,1.226
P1,1.0,64,13.716809684443156,28.808184215240363,-89.3766457102792,620.4470536689493,0.9977957504588953,0.9952524300818375,1.226
P1,1.0,65,5.574911318105991,10.053807289384299,-83.29126669067664,635.2514137477766,0.9958330635386514,0.9970772018804941,1.226
P1,1.0,66,1.1257547209302734,0.7397096597860803,-76.49975283979174,645.7924708294452,0.995506923424995,0.9983437625502947,1.226
P1,1.0,67,0.0,0.0,-69.48603021037212,651.8092292499596,0.9963981725202307,0.9990872888278153,1.226
P1,1.0,68,0.0,0.0,-62.517809447786036,653.4670196474085,0.9974165679570792,1.0002166730621727,1.226
P1,1.0,69,0.0,0.0,-55.797936659549705,651.2834953173108,0.9983888155224089,1.0011635080201793,1.226
